num;callsign;dmrid;name;country;ctry
369;2W0ITT;2353053;Ian;United Kingdom;GBR
370;2W0IWM;2353103;Ian;United Kingdom;GBR
371;2W0JMK;2353074;Mark;United Kingdom;GBR
372;2W0KED;2353126;Steven;United Kingdom;GBR
373;2W0KHK;2353045;Steven;United Kingdom;GBR
374;2W0KMU;2353109;Gareth;United Kingdom;GBR
375;2W0LEN;2353106;LEONARD HAYES;United Kingdom;GBR
376;2W0MMD;2353034;David;United Kingdom;GBR
377;2W0MRS;2353073;Simon;United Kingdom;GBR
378;2W0OGY;2353003;Chris;United Kingdom;GBR
379;2W0PNT;2353068;Marc;United Kingdom;GBR
380;2W0PWR;2353010;David;United Kingdom;GBR
381;2W0SKG;2353120;Wayne;United Kingdom;GBR
382;2W0SNW;2353080;Steven;United Kingdom;GBR
383;2W0TAX;2353131;Thomas;United Kingdom;GBR
384;2W0TDK;2353117;Mike;United Kingdom;GBR
385;2W0TRR;2353020;Tom;United Kingdom;GBR
386;2W0TRR;2353012;Tom;United Kingdom;GBR
387;2W0VAY;2353119;Alan;United Kingdom;GBR
388;2W0WTX;2353065;Stuart;United Kingdom;GBR
389;2W0WXM;2353022;Eric;United Kingdom;GBR
390;2W0ZAA;2353104;Steve tozer;United Kingdom;GBR
391;2W1EID;2353087;Russell;United Kingdom;GBR
392;2W1EQM;2353058;Jonathan;United Kingdom;GBR
393;4F1HMI;3106727;sotero;United States;
394;4X5AS;4255003;sasson;Israel;
395;4Z5VK;4255001;remco;Israel;
396;4Z5VK;4255002;meeder;Israel;
397;5P1LNI;2383015;Brian;Denmark;DNK
398;5P1OK;2384140;Rene Vindahl;Denmark;DNK
399;5P2FT;2381038;Uffe;Denmark;DNK
400;5P2OLD;2381035;Ole Steen;Denmark;DNK
401;5P2Y;2382014;Bjarke;Denmark;DNK
402;5P3LH;2383019;Leif;Denmark;DNK
403;5P3LH;2383069;Leif;Denmark;DNK
404;5P4DX;2384160;Mogens;Denmark;DNK
405;5P4Z;2381002;Herman;Denmark;DNK
406;5P5V;2381003;Find;Denmark;DNK
407;5P9R;2384165;Allan;Denmark;DNK
408;5Q1M;2381021;Hardy;Denmark;DNK
409;5Q5XX;2385092;Hans;Denmark;DNK
410;6K2GBE;4501001;Seongjin;Korea, Republic of;
411;6K2GBE;4500022;Seongjin;Korea S, Republic of;
412;6K5CDK;4500002;Jung;Korea, Republic of;
413;6K5CMC;4500003;sun;Korea, Republic of;
414;6K5CWY;4500001;Kim;Korea, Republic of;
415;7J1AJH;4401009;James;Japan;
416;7K1IUW;4411002;Sadamoto;Japan;
417;7L4CTJ;4411001;Ryo;Japan;
418;7M4MAS;4401001;Tatuo;Japan;
419;7X2VX;6030001;Abdelkrim;Algeria;DZA
420;9A0W;2190003;Ivan;Croatia;HRV
421;9A2JY;2190004;Boris;Croatia;HRV
422;9A5DW;2190002;Johann;Croatia;HRV
423;9A5PH;2190001;Richard;Croatia;HRV
424;9H1BX;2780009;Bill;Malta;MLT
425;9H1DH;2780002;Herbert;Malta;MLT
426;9H1DH;2780003;Herbert;Malta;MLT
427;9H1GP;2780008;Mark;Malta;MLT
428;9H1IA;2780005;WIlliam;Malta;MLT
429;9H1IA;2780004;William;Malta;MLT
430;9H1US;2780001;Antoine;Malta;MLT
431;9H3MM;2780007;Michael;Malta;MLT
432;9H4CM;2780006;Charles;Malta;MLT
433;9H5CC;2780010;Carmelo;Malta;MLT
434;9K2MI;4190001;Maged;Kuwait;
435;9M2AOC;5022001;Alexander;Malaysia;
436;9M2FRI;5022008;Martin;Malaysia;
437;9M2PEN;5022003;Soon;Malaysia;
